PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -63, 0, 32, 233, 2, 0000002379d134c3, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -61, 0, 34, 233, 2, 0000002379d1485a, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:e5:e5:a0, ff:ff:ff:ff:ff:ff, 40:b7:f3:e5:e5:a0, 12, -62, 0, 33, 239, 2, 0000002379d151dd, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -68, 0, 27, 233, 2, 0000002379d2009f, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -67, 0, 28, 233, 2, 0000002379d20a15, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -69, 0, 26, 251, 2, 00000208709410f4, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -77, 0, 18, 286, 2, 00000136288fb046, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 20:e5:2a:82:be:f0, ff:ff:ff:ff:ff:ff, 20:e5:2a:82:be:f0, 12, -76, 0, 19, 292, 2, 00000136288fc180, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, e0:06:e6:1d:2e:a1, ff:ff:ff:ff:ff:ff, e0:06:e6:1d:2e:a1, 12, -69, 0, 26, 257, 2, 000002087094a18e, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:12:a9:14:6c:9c, ff:ff:ff:ff:ff:ff, 00:12:a9:14:6c:9c, 12, -85, 0, 10, 87, 2, 000004d6219f0037, , 1, 3, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -69, 0, 26, 233, 2, 0000002379fdb707, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -68, 0, 27, 233, 2, 0000002379fdc07e, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -68, 0, 27, 233, 2, 0000002379fdc9f4, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -66, 0, 29, 233, 2, 0000002379fe5bd3, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:e5:e5:a0, ff:ff:ff:ff:ff:ff, 40:b7:f3:e5:e5:a0, 12, -64, 0, 31, 239, 2, 0000002379fea183, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -64, 0, 31, 233, 2, 0000002379fec7e9, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -75, 0, 20, 251, 2, 0000020870c0e018, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -74, 0, 21, 286, 2, 0000013628bc7f92, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -78, 0, 17, 251, 2, 0000020870c171bc, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 20:e5:2a:82:be:f0, ff:ff:ff:ff:ff:ff, 20:e5:2a:82:be:f0, 12, -77, 0, 18, 292, 2, 0000013628bd1180, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -79, 0, 16, 251, 2, 0000020870c1a40e, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:12:a9:14:6c:9c, ff:ff:ff:ff:ff:ff, 00:12:a9:14:6c:9c, 12, -79, 0, 16, 87, 2, 000004d621cc5037, , 1, 3, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -72, 0, 23, 233, 2, 000000237a2b0ec9, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -71, 0, 24, 233, 2, 000000237a2b18d6, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -71, 0, 24, 233, 2, 000000237a2b224a, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -71, 0, 24, 233, 2, 000000237a2b2bbe, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -70, 0, 25, 233, 2, 000000237a2b3533, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -66, 0, 29, 233, 2, 000000237a2b972e, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -70, 0, 25, 233, 2, 000000237a2bc739, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -73, 0, 22, 251, 2, 0000020870edbe70, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -78, 0, 17, 286, 2, 0000013628e95da7, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -76, 0, 19, 251, 2, 0000020870ee8025, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:e5:e5:a0, ff:ff:ff:ff:ff:ff, 40:b7:f3:e5:e5:a0, 12, -70, 0, 25, 239, 2, 000000237a57b183, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -69, 0, 26, 233, 2, 000000237a57ceb7, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -76, 0, 19, 251, 2, 000002087119e6c1, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -81, 0, 14, 286, 2, 000001362915863f, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -77, 0, 18, 251, 2, 00000208711a6e4a, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, e0:06:e6:1d:2e:a1, ff:ff:ff:ff:ff:ff, e0:06:e6:1d:2e:a1, 12, -81, 0, 14, 257, 2, 00000208711b018f, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -62, 0, 33, 233, 2, 000000237a84157d, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -59, 0, 36, 233, 2, 000000237a849df9, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -60, 0, 35, 233, 2, 000000237a84e128, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:e5:e5:a0, ff:ff:ff:ff:ff:ff, 40:b7:f3:e5:e5:a0, 12, -61, 0, 34, 239, 2, 000000237a850183, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -81, 0, 14, 357, 2, 0000000003ea1ca9, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -81, 0, 14, 357, 2, 0000000003ea3583, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -83, 0, 12, 357, 2, 0000000003ea44b0, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -79, 0, 16, 357, 2, 0000000003eaa449, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -77, 0, 18, 251, 2, 0000020871476a35, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -76, 0, 19, 286, 2, 0000013629430abb, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 20:e5:2a:82:be:f0, ff:ff:ff:ff:ff:ff, 20:e5:2a:82:be:f0, 12, -77, 0, 18, 292, 2, 0000013629437180, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:12:a9:14:6c:9c, ff:ff:ff:ff:ff:ff, 00:12:a9:14:6c:9c, 12, -78, 0, 17, 87, 2, 000004d62252b037, , 1, 3, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -64, 0, 31, 233, 2, 000000237ab17080, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -77, 0, 18, 251, 2, 0000020871738942, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -75, 0, 20, 286, 2, 00000136296f2843, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 20:e5:2a:82:be:f0, ff:ff:ff:ff:ff:ff, 20:e5:2a:82:be:f0, 12, -73, 0, 22, 292, 2, 00000136296f3364, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -81, 0, 14, 251, 2, 0000020871742400, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -82, 0, 13, 251, 2, 0000020871742e05, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -81, 0, 14, 251, 2, 000002087174386a, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -83, 0, 12, 251, 2, 00000208717442a4, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:12:a9:14:6c:9c, ff:ff:ff:ff:ff:ff, 00:12:a9:14:6c:9c, 12, -74, 0, 21, 87, 2, 000004d6227e7037, , 1, 3, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:12:a9:14:6c:e6, ff:ff:ff:ff:ff:ff, 00:12:a9:14:6c:e6, 12, -86, 0, 9, 87, 2, 000003c50609f037, , 1, 3, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -56, 0, 39, 233, 2, 000000237addb7fe, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -56, 0, 39, 233, 2, 000000237addc170, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:e5:e5:a0, ff:ff:ff:ff:ff:ff, 40:b7:f3:e5:e5:a0, 12, -56, 0, 39, 239, 2, 000000237ade1183, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -55, 0, 40, 233, 2, 000000237ade44b1, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -56, 0, 39, 233, 2, 000000237ade74bc, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -56, 0, 39, 233, 2, 000000237ade7e30, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -82, 0, 13, 357, 2, 000000000443f705, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
