13:02:09.793506 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.620708 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:12.705098 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.707470 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.709927 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:15.538298 1.0 Mb/s 2412 MHz 11b -64dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:15.551164 1.0 Mb/s 2417 MHz 11b -89dB signal antenna 3 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:15.569947 1.0 Mb/s 2417 MHz 11b -89dB signal antenna 3 Retry 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:15.623070 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:15.625431 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:15.627857 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:18.453822 1.0 Mb/s 2412 MHz 11b -64dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:18.517907 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:18.520267 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:18.522647 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:18.609440 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 0us Beacon (ATT072) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:02:21.353534 1.0 Mb/s 2412 MHz 11b -69dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:21.369821 1.0 Mb/s 2417 MHz 11b -87dB signal antenna 3 Retry 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:21.417855 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:21.420144 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:21.422528 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:21.443264 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:24.248201 1.0 Mb/s 2412 MHz 11b -63dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:24.309780 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:24.311962 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:24.314356 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:24.316812 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:24.319270 1.0 Mb/s 2437 MHz 11b -86dB signal antenna 3 0us Beacon (ATT200) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:27.141581 1.0 Mb/s 2412 MHz 11b -62dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:27.204749 1.0 Mb/s 2437 MHz 11b -85dB signal antenna 3 314us Probe Response (ATT200) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:27.207249 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:27.209714 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:30.035134 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:30.048397 1.0 Mb/s 2417 MHz 11b -67dB signal antenna 3 0us Beacon (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
13:02:30.098338 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:30.100733 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:30.103075 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:30.180708 1.0 Mb/s 2462 MHz 11b -91dB signal antenna 3 0us Beacon (ATT072) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:02:32.927292 1.0 Mb/s 2412 MHz 11b -69dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:32.941809 1.0 Mb/s 2417 MHz 11b -67dB signal antenna 3 Retry 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:32.944332 1.0 Mb/s 2417 MHz 11b -89dB signal antenna 3 0us Beacon (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] ESS CH: 2, PRIVACY
13:02:32.946410 1.0 Mb/s 2417 MHz 11b -88dB signal antenna 3 0us Beacon (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] ESS CH: 2, PRIVACY
13:02:33.011511 1.0 Mb/s 2437 MHz 11b -85dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:33.013899 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:33.016068 1.0 Mb/s 2437 MHz 11b -83dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:33.018494 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:33.023152 1.0 Mb/s 2437 MHz 11b -88dB signal antenna 3 0us Beacon (ATT200) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:35.842041 1.0 Mb/s 2412 MHz 11b -70dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:35.854926 1.0 Mb/s 2417 MHz 11b -88dB signal antenna 3 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:35.858297 1.0 Mb/s 2417 MHz 11b -88dB signal antenna 3 Retry 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:35.868661 1.0 Mb/s 2417 MHz 11b -88dB signal antenna 3 Retry 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:35.871321 1.0 Mb/s 2417 MHz 11b -88dB signal antenna 3 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:38.734906 1.0 Mb/s 2412 MHz 11b -73dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:38.752460 1.0 Mb/s 2417 MHz 11b -78dB signal antenna 3 0us Beacon (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
13:02:41.604401 1.0 Mb/s 2412 MHz 11b -64dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:41.617379 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:41.621841 1.0 Mb/s 2417 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:41.624083 1.0 Mb/s 2417 MHz 11b -87dB signal antenna 3 Retry 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:41.752017 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 0us Beacon (ATT072) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:02:44.497062 1.0 Mb/s 2412 MHz 11b -72dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:44.622691 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 314us Probe Response (ATT072) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:02:47.370388 1.0 Mb/s 2412 MHz 11b -84dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:47.373300 1.0 Mb/s 2412 MHz 11b -84dB signal antenna 3 Retry 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:47.376010 1.0 Mb/s 2412 MHz 11b -83dB signal antenna 3 Retry 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:47.395771 1.0 Mb/s 2412 MHz 11b -81dB signal antenna 3 0us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
13:02:47.405514 1.0 Mb/s 2417 MHz 11b -78dB signal antenna 3 314us Probe Response (ClearSPOT_4b7c0) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 2, PRIVACY
