13:12:07.972737 1.0 Mb/s 2462 MHz 11b -82dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:10.733941 1.0 Mb/s 2417 MHz 11b -69dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:12:10.739599 1.0 Mb/s 2417 MHz 11b -79dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:10.755130 1.0 Mb/s 2417 MHz 11b -68dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:10.853451 1.0 Mb/s 2457 MHz 11b -74dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:10.865604 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:13.622236 1.0 Mb/s 2412 MHz 11b -77dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:13.682810 1.0 Mb/s 2437 MHz 11b -74dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 4, PRIVACY
13:12:13.718402 1.0 Mb/s 2452 MHz 11b -88dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 9, PRIVACY
13:12:13.735614 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:16.436031 6.0 Mb/s 5825 MHz 11a -84dB signal antenna 3 0us Beacon (ctcco.com.HytE) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 165, PRIVACY
13:12:16.468293 1.0 Mb/s 2412 MHz 11b -73dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:12:16.473908 1.0 Mb/s 2412 MHz 11b -78dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:16.489401 1.0 Mb/s 2412 MHz 11b -87dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:19.357401 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:12:19.452890 1.0 Mb/s 2447 MHz 11b -79dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 9, PRIVACY
13:12:22.288531 1.0 Mb/s 2437 MHz 11b -85dB signal antenna 3 314us Probe Response (edimax) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:12:25.098707 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 314us Probe Response (ATT1343) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 1, PRIVACY
13:12:30.986793 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 0us Beacon (SureWest-73) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
13:12:39.588302 1.0 Mb/s 2457 MHz 11b -82dB signal antenna 3 0us Beacon (SureWest-73) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
13:12:42.455691 1.0 Mb/s 2457 MHz 11b -86dB signal antenna 3 0us Beacon (SureWest-73) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY

