12:45:09.385604 1.0 Mb/s 2432 MHz 11b -84dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:45:09.399393 1.0 Mb/s 2437 MHz 11b -77dB signal antenna 3 314us Probe Response (ATT976) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:45:09.527575 1.0 Mb/s 2462 MHz 11b -76dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:45:09.528454 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:45:09.778798 6.0 Mb/s 5220 MHz 11a -85dB signal antenna 3 0us Beacon (ctcco.com.Sheraton-BTH) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 44, PRIVACY
12:45:09.874485 6.0 Mb/s 5240 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:45:09.874518 6.0 Mb/s 5240 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:45:11.665872 6.0 Mb/s 5745 MHz 11a -83dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:45:11.675111 6.0 Mb/s 5745 MHz 11a -82dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:45:12.152544 1.0 Mb/s 2412 MHz 11b -85dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:45:12.155757 1.0 Mb/s 2412 MHz 11b -89dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:45:12.160134 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:45:12.226620 1.0 Mb/s 2432 MHz 11b -82dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:45:12.260504 1.0 Mb/s 2437 MHz 11b -72dB signal antenna 3 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:45:12.262928 1.0 Mb/s 2437 MHz 11b -73dB signal antenna 3 Retry 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:45:12.263999 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:45:12.267822 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 Retry 314us Probe Response (ATT976) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:45:12.344517 1.0 Mb/s 2462 MHz 11b -82dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:45:12.345597 1.0 Mb/s 2462 MHz 11b -81dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:45:12.347866 1.0 Mb/s 2462 MHz 11b -85dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11
12:45:12.350167 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:45:12.353263 1.0 Mb/s 2462 MHz 11b -90dB signal antenna 3 0us Beacon (Vines4thFloor) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11
12:45:12.368297 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11
12:45:12.370369 1.0 Mb/s 2462 MHz 11b -85dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:45:12.654287 6.0 Mb/s 5220 MHz 11a -88dB signal antenna 3 0us Beacon (ctcco.com.Sheraton-BTH) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 44, PRIVACY
12:45:12.741714 6.0 Mb/s 5240 MHz 11a -81dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:45:12.741810 6.0 Mb/s 5240 MHz 11a -81dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:45:12.747300 6.0 Mb/s 5240 MHz 11a -80dB signal antenna 3 60us Probe Response (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 48, PRIVACY
12:45:12.747346 6.0 Mb/s 5240 MHz 11a -81dB signal antenna 3 60us Probe Response (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 48, PRIVACY
12:45:14.533076 6.0 Mb/s 5745 MHz 11a -78dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:45:14.533956 6.0 Mb/s 5745 MHz 11a -78dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:45:14.533980 6.0 Mb/s 5745 MHz 11a -78dB signal antenna 3 60us Probe Response (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 149, PRIVACY
