PROBRP, 00:1f:33:37:66:44, 10:0b:a9:7b:23:c0, 00:1f:33:37:66:44, 22, -80, 0, 15, 66, 2, 000004d60ce502e5, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:1e:02:70, 10:0b:a9:7b:23:c0, 40:b7:f3:1e:02:70, 22, -87, 0, 8, 233, 2, 000001027d008e48, ATT024, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:1e:02:70, 10:0b:a9:7b:23:c0, 40:b7:f3:1e:02:70, 22, -86, 0, 9, 233, 2, 000001027d0097b8, ATT024, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:1f:33:38:85:5e, ff:ff:ff:ff:ff:ff, 00:1f:33:38:85:5e, 12, -85, 0, 10, 70, 2, 000004d610fd51ff, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:38:85:5e, 10:0b:a9:7b:23:c0, 00:1f:33:38:85:5e, 22, -84, 0, 11, 64, 2, 000004d610fd552c, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:1e:02:70, 10:0b:a9:7b:23:c0, 40:b7:f3:1e:02:70, 22, -88, 0, 7, 233, 2, 000001027d00b78c, ATT024, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:38:85:5e, 10:0b:a9:7b:23:c0, 00:1f:33:38:85:5e, 22, -85, 0, 10, 64, 2, 000004d610fd71c1, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:14:7c:a3:b6:c6, ff:ff:ff:ff:ff:ff, 00:14:7c:a3:b6:c6, 12, -90, 0, 5, 109, 2, 000004d60a01b037, , 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:22:6b:4c:71:3a, ff:ff:ff:ff:ff:ff, 00:22:6b:4c:71:3a, 12, -89, 0, 6, 131, 2, 000004d611e2e183, ilovekris, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -73, 0, 22, 233, 2, 000002552ee139b6, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
