12:31:25.555091 2.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 Retry 260us Probe Response (2135 0463) [1.0* 2.0* 5.5* 11.0* 22.0 Mbit] CH: 6, PRIVACY
12:31:25.563689 1.0 Mb/s 2437 MHz 11b -87dB signal antenna 3 Retry 304us Probe Response (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:25.573560 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.574501 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 Retry 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.575592 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 Retry 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.604683 2.0 Mb/s 2442 MHz 11b -77dB signal antenna 3 0us Beacon (2WIRE936) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 7, PRIVACY
12:31:25.647544 1.0 Mb/s 2462 MHz 11b -69dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.653815 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.657225 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.669101 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:28.081733 6.0 Mb/s 5785 MHz 11a -83dB signal antenna 3 0us Beacon (Cisco_7DE5120D) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:28.082781 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:28.341670 2.0 Mb/s 2412 MHz 11b -75dB signal antenna 3 Retry 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:28.346494 1.0 Mb/s 2412 MHz 11b -79dB signal antenna 3 304us Probe Response (JAMES B) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:28.349807 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:28.426468 1.0 Mb/s 2427 MHz 11b -82dB signal antenna 3 Retry 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:28.445893 1.0 Mb/s 2432 MHz 11b -86dB signal antenna 3 0us Beacon (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:28.452140 2.0 Mb/s 2437 MHz 11b -65dB signal antenna 3 258us Probe Response (2WIRE135) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:28.459769 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:28.485868 1.0 Mb/s 2442 MHz 11b -75dB signal antenna 3 0us Beacon (2135 0463) [1.0* 2.0* 5.5* 11.0* 22.0 Mbit] ESS CH: 6, PRIVACY
12:31:28.497906 1.0 Mb/s 2447 MHz 11b -84dB signal antenna 3 314us Probe Response (SCD_Cool) [1.0* 2.0* 5.5* 11.0* 18.0* 24.0* 36.0* 54.0* Mbit] CH: 8, PRIVACY
12:31:28.536154 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:28.538877 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:28.542416 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:28.546062 1.0 Mb/s 2462 MHz 11b -77dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:30.996545 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 0us Beacon (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:30.997432 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:31.254225 2.0 Mb/s 2412 MHz 11b -71dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:31.262692 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:31.279252 1.0 Mb/s 2412 MHz 11b -87dB signal antenna 3 0us Beacon (sonicwall) [1.0* 2.0* 5.5* 11.0* Mbit] ESS CH: 1, PRIVACY
12:31:31.316203 1.0 Mb/s 2427 MHz 11b -85dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:31.341634 2.0 Mb/s 2437 MHz 11b -69dB signal antenna 3 Retry 258us Probe Response (2WIRE135) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:31.354659 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:31.361919 1.0 Mb/s 2437 MHz 11b -88dB signal antenna 3 0us Beacon (HP-Print-05-Deskjet 3510 series) [1.0 2.0 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:31:31.373914 2.0 Mb/s 2442 MHz 11b -82dB signal antenna 3 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:31.385241 1.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 0us Beacon (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:31.390123 2.0 Mb/s 2442 MHz 11b -70dB signal antenna 3 0us Beacon (2WIRE095) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 8, PRIVACY
12:31:31.408901 2.0 Mb/s 2447 MHz 11b -68dB signal antenna 3 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.410405 2.0 Mb/s 2447 MHz 11b -67dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.411885 2.0 Mb/s 2447 MHz 11b -66dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:31.470360 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:31.473939 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
